Coluna,Significado,Total Outliers,% do Total
V0026,Tipo de situaêêo censitêria,0,0.00%
V0031,Tipo de êrea,0,0.00%
B001,O seu domicêlio estê cadastrado na unidade de saêde da famêlia ,0,0.00%
C006,Sexo,0,0.00%
D00901,Qual foi o curso mais elevado que ___frequentou ,0,0.00%
C011,Qual ê o estado civil de ___? ,0,0.00%
E006011,"Na semana de ___ a ___ (semana de referência), por que motivo ___ estava afastado desse trabalho",0,0.00%
D014,___concluiu este curso que frequentou ,0,0.00%
E008,A doenêa ou acidente foi relacionado ao trabalho?,0,0.00%
F001011,"Em (mês da pesquisa) ___ recebia normalmente rendimento de aposentadoria ou pensêo de instituto de previdência federal (INSS), estadual, municipal, ou do governo federal, estadual, municipal?",0,0.00%
I004,"O plano de saêde mêdico (ênico ou principal) que _____ possui ê de instituiêêo de assistência de servidor pêblico (municipal, estadual ou militar)? ",0,0.00%
P027,Com que frequência o(a) Sr(a) costuma consumir alguma bebida alcoêlica?,0,0.00%
P035,Quantos dias por semana o(a) Sr(a) costuma  (costumava)praticar exercêcio fêsico ou esporte?,0,0.00%
J00801,"Alguma dessas doenêas limita de alguma forma suas atividades habituais (trabalhar, ir ê escola, brincar, afazeres domêsticos, etc.)",0,0.00%
J007,"Algum mêdico jê deu o diagnêstico de alguma doenêa crênica, fêsica ou mental, ou doenêa de longa duraêêo (de mais de 6 meses de duraêêo) a ___",0,0.00%
J00402, Qual foi o principal motivo de saêde que impediu ___ de realizar suas atividades habituais nas duas êltimas semanas ,0,0.00%
P00901,"Em quantos dias da semana, o(a) Sr(a) costuma comer pelo menos um tipo de verdura ou legume (sem contar batata, mandioca, carê ou inhame) como alface, tomate, couve, cenoura, chuchu, berinjela, abobrinha? ",0,0.00%
P01101,"Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito, bode, ovelha etc.)? ",0,0.00%
P018,Em quantos dias da semana o(a) Sr(a) costuma comer frutas? ,0,0.00%
Q06506,Faz atualmente por causa da doenêa do coraêêo: Dieta?,0,0.00%
H003,Por qual motivo o(a) sr(a) precisou consultar com um(a) mêdico(a),0,0.00%
Q067,"Em geral, em que grau a doenêa do coraêêo limita as suas atividades habituais (tais como trabalhar, realizar afazeres domêsticos etc.)?",0,0.00%
Q06601,O(A) Sr(a) jê fez alguma cirurgia de ponte de safena ou cateterismo com colocaêêo de stent ou angioplastia?,0,0.00%
Q06509,Faz atualmente por causa da doenêa do coraêêo acompanhamento regular?,0,0.00%
Q05901,Quando foi a êltima vez que o(a) Sr(a) fez exame de sangue para medir o colesterol e triglicerêdeos? ,0,0.00%
